gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
ZNF571	-0.00140963435243352	8.34414942081663e-10	0.061	0.031							TRUE	FALSE	FALSE	FALSE
ZNF573	0.00438499596655767	8.03773398057572e-20	0.111	0.056							TRUE	FALSE	FALSE	FALSE
ZNF577	0.0137911104055399	1.02849786071582e-27	0.121	0.056							TRUE	FALSE	FALSE	FALSE
ZNF583	-0.0138369919798097	0.000135767619197333	0.05	0.028							TRUE	FALSE	FALSE	FALSE
ZNF586	0.000848822730348364	3.5791130335108e-30	0.193	0.101	-0.0504735177941558	0.695282802714156	6.17434183025024	-0.61362672463141	0.541721234963465	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF587	0.0199387785221617	6.57538812707633e-18	0.082	0.038							TRUE	FALSE	FALSE	FALSE
ZNF589	0.0208333946300641	4.26855391702237e-15	0.076	0.037							TRUE	FALSE	FALSE	FALSE
ZNF592	0.2131991229171	4.30534010276778e-93	0.302	0.126	0.193437529757023	0.0335216170851938	6.84099557664167	2.75806496259375	0.00764303128644817	TRUE	TRUE	TRUE	TRUE	TRUE
ZNF594	-0.0154368905658467	9.99271798979375e-24	0.117	0.056							TRUE	FALSE	FALSE	FALSE
ZNF595	0.0750324188122478	1.46799640397348e-41	0.141	0.059							TRUE	FALSE	FALSE	FALSE
ZNF596	0.00375181085424778	4.62274542082112e-12	0.056	0.026							TRUE	FALSE	FALSE	FALSE
ZNF608	0.0148754736650759	4.21152078077377e-15	0.191	0.118	-0.0287067728433422	0.847416650261306	6.51251223644141	-0.318135362012652	0.751458223146789	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF609	0.0793760269640416	8.05551386208243e-32	0.75	0.506	-0.010054964447862	0.885372235373708	9.35669772660401	-0.244155226857759	0.807921922511382	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF611	-0.00997529713842915	4.50373672824434e-25	0.183	0.099	-0.0903202222465572	0.451431295961008	6.2989414931814	-1.11826339506441	0.267796275033232	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF616	-0.00381254708469936	4.72030713434298e-08	0.05	0.025							TRUE	FALSE	FALSE	FALSE
ZNF618	0.157821941762708	1.68477510672074e-70	0.29	0.133	0.0914956838714174	0.392500296487904	6.98783028001985	1.25278301396319	0.215019290195363	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF621	-0.0147988204428096	2.5686606653007e-22	0.126	0.064							TRUE	FALSE	FALSE	FALSE
ZNF623	0.0177167682052378	5.51265032286077e-25	0.103	0.047							TRUE	FALSE	FALSE	FALSE
ZNF624	0.0227108405151517	8.22526978869283e-14	0.056	0.024							TRUE	FALSE	FALSE	FALSE
ZNF630	0.0483138200949232	2.09493779270216e-24	0.088	0.038							TRUE	FALSE	FALSE	FALSE
ZNF638	-0.0130278169257427	8.19808850106332e-24	0.751	0.511	-0.1001726407416	0.050623590355817	9.3657756705499	-2.5626451684348	0.012846333181341	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF641	0.0526610360220221	5.12678367807482e-27	0.133	0.065							TRUE	FALSE	FALSE	FALSE
ZNF644	0.189206599300063	1.29817879896013e-73	0.589	0.327	0.128727912442793	0.0347874442810954	8.42943768858737	2.73947735819945	0.0080381087780343	TRUE	TRUE	TRUE	TRUE	TRUE
ZNF652	0.151696754048627	1.20034805009304e-67	0.526	0.29	0.0558128342543107	0.487093664809082	8.19458150130242	1.04386002042747	0.300629091771992	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF654	0.0444198495846394	3.14987090803665e-40	0.297	0.161	0.118148502685576	0.297023622734906	6.75125383737492	1.47782611620401	0.14454893962744	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF66	0.0289026732195103	8.79134625791674e-15	0.072	0.034							TRUE	FALSE	FALSE	FALSE
ZNF667-AS1	-0.137404529784798	1	0.057	0.052							FALSE	FALSE	FALSE	FALSE
ZNF675	0.00300908341300249	2.715157792465e-27	0.146	0.072							TRUE	FALSE	FALSE	FALSE
ZNF678	0.0711260572842104	1.18270966142667e-35	0.168	0.08	0.0633087924069228	0.695911000041128	5.9463379312253	0.612071258388954	0.542743136476861	TRUE	TRUE	FALSE	FALSE	FALSE
