TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
RCOR3	1	0.08721164708913673	7.29184736496597	ChEA_2022	RCOR3 21632747 ChIP-Seq MESCs Mouse	1.059425511297223
GLI1	1	0.09235829162393384	37.54277574025534	ChEA_2022	GLI1 17442700 ChIP-ChIP MESCs Mouse	1.03452410894196
MNX1	1	0.09235829162393384	7.689621622813975	ChEA_2022	MNX1 26342078 ChIP-Seq MIN6-4N Mouse	1.03452410894196
SA1	1	0.09741149690151366	7.447277641088426	ChEA_2022	SA1 22415368 ChIP-Seq MEFs Mouse	1.0113930456948643
POU5F1	1	0.0996517388123049	7.358521448397446	ChEA_2022	POU5F1 18347094 ChIP-ChIP MESCs Mouse	1.831851280166312
POU3F1	1	0.09995393997765006	7.3291882728509625	ChEA_2022	POU3F1 26484290 ChIP-Seq ESCss Mouse	1.0002000822179244
ER	1	0.101232691786527	9.15574502218101	ChEA_2022	ER 23166858 ChIP-Seq MCF-7 Human	0.9946792150679833
SOX3	1	0.10254329528168923	7.213100127253284	ChEA_2022	SOX3 22085726 ChIP-Seq NPCs Mouse	0.9890943617950014
IRF1	1	0.13208595470156756	15.991327643666999	ChEA_2022	IRF1 19129219 ChIP-ChIP H3396 Human	0.8791433604316792
ETS2	1	0.1632484522914483	13.273648693926715	ChEA_2022	ETS2 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	0.787150927446272
MITF	1	0.16892452175842387	4.767998049828435	ChEA_2022	MITF 21258399 ChIP-Seq MELANOMA Human	0.7723073019307158
PCGF2	1	0.17693695841645288	8.443008537259221	ChEA_2022	PCGF2 27294783 Chip-Seq ESCs Mouse	0.7521830740147544
PAX2	1	0.17909485224825755	141.432767389918	TRRUST_Transcription_Factors_2019	PAX2 human	0.7469168969667436
SFPQ	1	0.17909485224825755	141.432767389918	TRRUST_Transcription_Factors_2019	SFPQ human	0.7469168969667436
LHX2	1	0.17909485224825755	112.77461836050252	TRRUST_Transcription_Factors_2019	LHX2 mouse	0.7469168969667436
TFAP4	1	0.17909485224825755	112.77461836050252	TRRUST_Transcription_Factors_2019	TFAP4 human	0.7469168969667436
IRF9	1	0.17909485224825755	92.89678500716381	TRRUST_Transcription_Factors_2019	IRF9 human	0.7469168969667436
PAX8	1	0.17909485224825755	92.89678500716381	TRRUST_Transcription_Factors_2019	PAX8 human	0.7469168969667436
POU4F1	1	0.17909485224825755	92.89678500716381	TRRUST_Transcription_Factors_2019	POU4F1 mouse	0.7469168969667436
SOX4	1	0.17909485224825755	92.89678500716381	TRRUST_Transcription_Factors_2019	SOX4 human	0.7469168969667436
GF1	1	0.1822203225727361	5.983527902094969	ChEA_2022	GF1 26923725 Chip-Seq HPCs Mouse	0.7394031888942535
CJUN	1	0.18958591071926095	5.376758748904575	ChEA_2022	CJUN 26792858 Chip-Seq BT549 Human	0.7221939408599753
TRIM28	1	0.19660875574612882	6.557099159179113	ChEA_2022	TRIM28 17542650 ChIP-ChIP NTERA2 Human	0.827478568711453
FOSL2	1	0.19804430401331719	37.659813836990104	TRRUST_Transcription_Factors_2019	FOSL2 human	0.7032376438992175
JUNB	1	0.19804430401331719	37.659813836990104	TRRUST_Transcription_Factors_2019	JUNB human	0.7032376438992175
KLF5	1	0.20828619763630826	5.082325003709797	ChEA_2022	KLF5 25053715 ChIP-Seq YYC3 Human	0.7746937494142313
DROSHA	1	0.20847715019811291	7.392623728160461	ChEA_2022	DROSHA 22980978 ChIP-Seq HELA Human	0.6809415382282535
LDB1	1	0.20847715019811291	5.161485948133276	ChEA_2022	LDB1 21186366 ChIP-Seq BM-HSCs Mouse	0.6809415382282535
PKCTHETA	1	0.21256489055302435	7.273271253899141	ChEA_2022	PKCTHETA 26484144 Chip-Seq BREAST Human	0.6725084665213834
NRF1	1	0.23008021550749003	21.59922753970687	TRRUST_Transcription_Factors_2019	NRF1 mouse	0.6381207245097031
SCL	1	0.24122241639452466	4.690964114522286	ChEA_2022	SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human	0.6175839677996805
ZFX	1	0.24532353336078025	4.618754852553823	ChEA_2022	ZFX 18555785 Chip-Seq ESCs Mouse	0.6102624202572238
IGF1R	1	0.24735143519073408	13.12527238363094	ChEA_2022	IGF1R 20145208 ChIP-Seq DFB Human	0.6066855654145845
STAT1	1	0.2641624710700431	4.470362161427137	ChEA_2022	STAT1 17558387 ChIP-Seq HELA Human	0.5781321443183474
TFAP2C	1	0.2641624710700431	4.745561524359115	ChEA_2022	TFAP2C 20629094 ChIP-Seq MCF-7 Human	0.5781288815166818
