TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
RUNX2	1	0.00018035332016165016	30.29595570087922	ChEA_2022	RUNX2 22187159 ChIP-Seq PCA Human	6.162621231254093
DMRT1	1	0.0002456538632384489	33.26049633290111	ChEA_2022	DMRT1 23473982 ChIP-Seq TESTES Mouse	3.9249407354236725
NUCKS1	1	0.00029104038271358343	49.65027275797047	ChEA_2022	NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	3.536046747189717
TOP2B	1	0.00029273573316671296	32.89917010056121	ChEA_2022	TOP2B 26459242 ChIP-Seq MCF-7 Human	3.5335242616115456
TCFAP2C	1	0.0003242577513998844	29.990145619029015	ChEA_2022	TCFAP2C 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	3.4891096332856413
CHD4	1	0.0003297521041024809	29.25479297555332	ChEA_2022	CHD4 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo	3.481812424599849
MITF	1	0.0004341846924090895	23.17919504503887	ChEA_2022	MITF 21258399 ChIP-Seq MELANOMA Human	3.362325492073338
MTF2	1	0.00056721470651243	25.31639413431665	ChEA_2022	MTF2 20144788 ChIP-Seq MESCs Mouse	3.2462525174681556
JUND	1	0.0007309317797211352	27.60086883998027	ChEA_2022	JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human	4.19204665563073
TBL1	1	0.0007612643130311036	27.33166370283673	ChEA_2022	TBL1 22424771 ChIP-Seq 293T Human	3.1184645288260753
SMAD3	1	0.0008641632434080002	31.48312155727407	ChEA_2022	SMAD3 21741376 ChIP-Seq HESCs Human	12.584234474460564
BRD4	1	0.0008641632434080002	26.54208444530178	ChEA_2022	BRD4 27068464 Chip-Seq AML-cells Mouse	5.698291258069441
NR3C2	1	0.0010275903271962223	26.02034520056642	ChEA_2022	NR3C2 34362910 ChIP-Seq WistarRat Hippocampus	3.922556243375306
CMYC	1	0.0010437898147112755	25.887138278556424	ChEA_2022	CMYC 18555785 Chip-Seq ESCs Mouse	2.981386945300324
BACH1	1	0.0010445973670498401	28.528050247666652	ChEA_2022	BACH1 22875853 ChIP-PCR HELA AND SCP4 Human	2.981051073154555
PU1	1	0.0011244795826285002	25.405437920622393	ChEA_2022	PU1 27457419 Chip-Seq LIVER Mouse	2.949048425717258
PIAS1	1	0.001250562908992916	35.76266051693379	ChEA_2022	PIAS1 25552417 ChIP-Seq VCAP Human	2.9028944563994616
SOX3	1	0.0016787959328300693	23.14692281098015	ChEA_2022	SOX3 22085726 ChIP-Seq NPCs Mouse	3.6765918950175767
PU	1	0.001774280465359039	22.838036537351787	ChEA_2022	PU 27001747 Chip-Seq BMDM Mouse	2.750977728962974
POU3F2	1	0.0018358743630167505	24.000680936499453	ChEA_2022	POU3F2 20337985 ChIP-ChIP 501MEL Human	2.736157042805536
