TF	reference_n_libs	reference_best_adjP	reference_aggregate_score	pooledDown_n_libs	pooledDown_best_adjP	pooledDown_aggregate_score	joint_score
ERA	1	0.3883754680918954	0.41074984170142037	1	0.2910329150369658	0.810248899782553	1.2209987414839734
POU3F1	1	0.09995393997765006	1.0002000822179244	1	0.6026384267500444	0.21994317934466412	1.2201432615625887
SMAD1	1	0.39394348259180284	0.47374383867937925	1	0.3656979346298988	0.7302090735231558	1.203952912202535
DNAJC2	1	0.0663418779935993	1.1782122387147405	1	0.9618691868761218	0.01688398750566945	1.19509622622041
TBX4	1	0.349719576279007	0.45628005647545755	1	0.18375376411373667	0.7357637558242759	1.1920438122997334
NFYA	2	0.3292147694169003	0.4825223277086609	2	0.22678415675461283	0.7076513916277988	1.1901737193364597
SOX3	1	0.10254329528168923	0.9890943617950014	1	0.7881537049675028	0.1968941865446618	1.1859885483396633
JUND	2	0.2678896779610092	0.572047282642273	1	0.34760694259263747	0.6093494289323748	1.1813967115746478
CLOCK	1	0.9999962435678172	1.631400832739695e-06	2	0.2511378940203652	1.1738484139725212	1.1738500453733538
PCGF2	1	0.17693695841645288	0.7521830740147544	1	0.558173891006547	0.4144128330419106	1.166595907056665
TCF21	1	0.9999962435678172	3.26280166547939e-06	1	0.24708003287455613	1.1658142349473954	1.165817497749061
TCF7L2	2	0.19370056511458608	0.7128707504877763	2	0.3723273260644503	0.4501823513395256	1.1630531018273018
HOXD13	1	0.4516052609261089	0.34524100745151937	1	0.15823566228994307	0.8006956308869518	1.1459366383384713
NFYB	2	0.20847715019811291	0.6809431764758652	2	0.3620082348857428	0.46238881283842515	1.1433319893142904
TFAP2A	2	0.18226509425591353	0.7392997582911927	1	0.5803737072408651	0.39095774138689754	1.1302574996780903
TBX20	1	0.9999962435678172	3.26280166547939e-06	1	0.28540153888789055	1.0890873789899245	1.08909064179159
SRF	2	0.23008021550749003	0.6381223559105359	2	0.4416996934368711	0.41813700506138063	1.0562593609719166
FOXO3	1	0.9999962435678172	3.26280166547939e-06	1	0.24809847145245742	1.046657461547032	1.0466607243486976
FOXO1	1	0.9999962435678172	3.26280166547939e-06	2	0.42177872111992665	1.0427755147033257	1.0427787775049913
SP1	1	0.4726005345521603	0.36705578927250176	2	0.24731364312350507	0.6756407423655264	1.0426965316380281
SFPI1	1	0.9999962435678172	1.631400832739695e-06	1	0.0936263876577198	1.028601732468718	1.0286033638695506
CUX1	2	0.19804430401331719	0.7265355783903858	1	0.5047026948935361	0.2969643763159131	1.023499954706299
RELA	2	0.5338793944484268	0.3677663637685161	3	0.34813829303210453	0.6423302465999146	1.0100966103684308
NMYC	1	0.4144036602290585	0.38257641733072295	1	0.24708003287455613	0.6071623495504788	0.9897387668812017
FOS	2	0.32909052251396853	0.9653708878135524	1	0.95468278248262	0.02014090978056403	0.9855117975941164
ESRRB	1	0.3976529166011403	0.4004974592502174	1	0.3723273260644503	0.5589428268069574	0.9594402860571748
ELK4	1	0.332571799517043	0.4781145796305618	1	0.3345156297557665	0.47558358564473013	0.9536981652752919
GF1	1	0.1822203225727361	0.7394031888942535	1	0.6413223882931393	0.19292359878157145	0.932326787675825
PKCTHETA	1	0.21256489055302435	0.6725084665213834	1	0.5944571727965735	0.22587942832553332	0.8983878948469167
PCGF4	1	0.6882908949354947	0.1622279754781228	1	0.18497899559291084	0.7328775830347323	0.8951055585128551
ELF3	1	0.9999962435678172	1.631400832739695e-06	1	0.12777088365951766	0.8935681016288683	0.8935697330297011
RBPJ	1	0.9999962435678172	3.26280166547939e-06	1	0.39006439981171587	0.8801653751382653	0.8801686379399308
P63	1	0.9999962435678172	3.26280166547939e-06	1	0.24708003287455613	0.8705244137309562	0.8705276765326218
STAT6	1	0.9999962435678172	1.631400832739695e-06	1	0.31452713899403956	0.8568057092613685	0.8568073406622012
DPY	1	0.32863818309197185	0.483281979115289	1	0.42649015431295184	0.37009099023364667	0.8533729693489356
NCOR1	1	0.9999962435678172	1.631400832739695e-06	2	0.24731364312350507	0.8532058055554567	0.8532074369562894
ADNP	1	0.8596177135184431	0.06569464389714438	1	0.16671882404010516	0.7780153616884776	0.843710005585622
NEUROD2	1	0.39327739348994456	0.405301017141599	1	0.3651362566085702	0.4375450411580562	0.8428460582996552
SOX4	1	0.17909485224825755	0.7469168969667436	1	0.8054171223343013	0.0939791419793179	0.8408960389460615
SOX6	1	0.5856588909356252	0.23235525926791056	1	0.24708003287455613	0.6071623495504788	0.8395176088183893
THRA	1	0.4794249704570709	0.3192793498407519	1	0.3030776848668638	0.5184460388747211	0.837725388715473
SP3	1	0.4367929192367535	0.3597244105078308	1	0.547600596781903	0.4705116137650499	0.8302360242728808
SETDB1	1	0.7363156855702659	0.13293757914625173	1	0.24708003287455613	0.6948849285844826	0.8278225077307343
