gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
ZBED5	-0.394819423115673	6.40271084582642	7.70230470243676	0.00747857468863348	0.216687781485129	pooled_retained	2.1261811646816	NS
CAST	0.392686184613448	7.33954494148015	7.74618132586891	0.00732088000361008	0.216687781485129	pooled_retained	2.13543671159993	NS
AGO2	0.387537789003537	6.31940756629088	7.7887766303634	0.00717114061176819	0.216687781485129	pooled_retained	2.14441176176598	NS
CLTC	0.382642826469298	8.08170586431315	7.92970042462224	0.00669831993293355	0.216687781485129	pooled_retained	2.17403411302348	NS
RAB31	0.374203795201006	9.25532348474654	7.80986110487339	0.00709821804204161	0.216687781485129	pooled_retained	2.14885066418805	NS
CCAR1	-0.33420708683592	7.63507175376584	7.68379470944623	0.00754617091421424	0.216687781485129	pooled_retained	2.12227336263098	NS
H2AFY	0.334029380709815	7.90673705400147	7.99238387209913	0.00649866949376938	0.216687781485129	pooled_retained	2.18717554961273	NS
ANO6	0.314877324863699	7.20392375490431	7.98160779621963	0.00653254063897268	0.216687781485129	pooled_retained	2.18491787984378	NS
TAB2	0.265697824416918	9.3407774340177	7.78945676202811	0.00716877603153104	0.216687781485129	pooled_retained	2.14455498772522	NS
COG5	0.217864224689712	8.5562381227314	7.73321395290832	0.00736711713724138	0.216687781485129	pooled_retained	2.13270242480331	NS
TLR5	0.596988643621075	7.13181039233937	7.60811611272378	0.007838474822849	0.219181503537023	pooled_retained	2.10576843227189	NS
TAOK3	0.265515427505794	9.14890288866777	7.60617948520954	0.00783670572843779	0.219181503537023	pooled_retained	2.10586646086448	NS
TOP1	0.301449661518505	7.9227815289852	7.58583489658269	0.00791479630847733	0.219932402421814	pooled_retained	2.10156025745894	NS
RBPJ	0.580593949658405	7.82731760207472	7.53947339477482	0.00812020857838907	0.22069027040128	pooled_retained	2.09043281518247	NS
DUSP16	0.520103214186198	7.36374797042412	7.54466770208366	0.00807533403742817	0.22069027040128	pooled_retained	2.09283950396759	NS
CCDC102B	-0.513972476976532	6.23691976622118	7.52817213440706	0.00814062176019118	0.22069027040128	pooled_retained	2.08934242352507	NS
AAK1	0.213072196858946	9.06688267925225	7.53043862733897	0.00813161831567408	0.22069027040128	pooled_retained	2.08982301459952	NS
CPNE4	-0.669101323239578	6.08111816461452	7.51756562364485	0.00819082818540979	0.220705588559587	pooled_retained	2.08667218393321	NS
CDC73	0.296012683881169	7.53654354171777	7.47817873595085	0.00834191426945832	0.223422595433805	pooled_retained	2.0787342777475	NS
AL592183.1	-0.736179973117907	6.51898288050257	7.41036693118765	0.00864694672663952	0.230205539800235	pooled_retained	2.06313721668042	NS
HLA-B	0.89299012482566	6.35185551679371	7.39032370703776	0.00874733715149911	0.231492029616458	pooled_retained	2.05812413399666	NS
PIAS2	0.362245866425957	7.37053219208411	7.35153354560847	0.00887570894413269	0.232308567785396	pooled_retained	2.05179694776829	NS
NUMB	0.27087010607917	8.84632436174967	7.34993014614461	0.00888269377497017	0.232308567785396	pooled_retained	2.0514553096498	NS
RUNX1	0.482638743941345	10.6578095811832	7.32355266203113	0.00900782265718403	0.234203389086785	pooled_retained	2.04538017264421	NS
ZDHHC13	-0.543663850373546	6.03697065201988	7.28777744563833	0.00915797018143986	0.23543707109142	pooled_retained	2.03820077487877	NS
ARHGAP22	-0.415062015785465	10.2307063355519	7.27533855269907	0.00921413638549415	0.23543707109142	pooled_retained	2.0355453637103	NS
COA1	-0.296289595273388	7.52913340533129	7.28169387668769	0.00918539443331211	0.23543707109142	pooled_retained	2.03690218976286	NS
CCPG1	-0.461366856694664	6.74788782327806	7.22515966723736	0.00944443368782811	0.239916759856266	pooled_retained	2.02482407835887	NS
UBQLN1	0.331815187848194	6.72415484144346	7.21380615247049	0.00949737960744552	0.239916759856266	pooled_retained	2.02239620302762	NS
HCLS1	0.469126167116097	7.72370535531833	7.18760116146182	0.00962078457399043	0.241661063367014	pooled_retained	2.01678950984776	NS
NAALADL2	-0.564123414036658	8.42725847863487	7.16441911293472	0.00976358508516688	0.243870220722764	pooled_retained	2.01039068470868	NS
PLXDC1	-0.725347203299752	5.89303503057261	7.03026397425292	0.0104185230118303	0.253018308705727	pooled_retained	1.98219384469076	NS
MITF	0.701497431043742	7.26046872414148	7.06168054436107	0.0102802510514769	0.253018308705727	pooled_retained	1.98799627941275	NS
PDE3B	0.478466092094435	9.95156257989493	7.02322926279431	0.0104446861361386	0.253018308705727	pooled_retained	1.98110460608014	NS
PRUNE2	-0.443496126117757	6.45254004440246	7.01612570118921	0.0104712930278573	0.253018308705727	pooled_retained	1.97999968697534	NS
ADAM9	0.392296617288426	7.29937185626698	7.03970821528285	0.0103497571966162	0.253018308705727	pooled_retained	1.98506983855553	NS
AGTPBP1	0.375479243131062	7.59394081242342	7.0184163931288	0.0104594217238035	0.253018308705727	pooled_retained	1.98049232589929	NS
MOB3B	0.553311548133587	6.42776312172404	6.96720247731841	0.0107282644435723	0.253712041043204	pooled_retained	1.96947052999531	NS
PPME1	0.537368325567376	6.49099458348842	6.99835261532597	0.0105638859540326	0.253712041043204	pooled_retained	1.97617629601128	NS
RAP1GAP2	-0.383831359909343	8.04894202627029	6.97486525593261	0.0106875788634748	0.253712041043204	pooled_retained	1.97112066759986	NS
CDC42SE2	0.191689595530867	8.28380473930115	6.9685185790058	0.0107212649578957	0.253712041043204	pooled_retained	1.96975397100295	NS
FCGRT	-0.348799243980139	6.9710835980899	6.95394410611357	0.0107990472518696	0.2540347305916	pooled_retained	1.96661455854155	NS
COL18A1	-0.526570510606844	5.86163546455336	6.90347049233445	0.0110730647719512	0.256410656125494	pooled_retained	1.95573215966937	NS
AGAP3	0.489264046657211	6.38051708813325	6.90722126886954	0.0110524512718379	0.256410656125494	pooled_retained	1.9565413911399	NS
PAPOLA	0.352423410665464	7.65441427923694	6.91506427683912	0.0110094787869828	0.256410656125494	pooled_retained	1.95823324100058	NS
COPA	0.374557487329458	7.28161787381755	6.87074290521482	0.0112546641983006	0.257929056833219	pooled_retained	1.94866745837121	NS
LINC00623	0.343620974741091	7.23605273328944	6.8726013991697	0.0112442678238107	0.257929056833219	pooled_retained	1.94906881861263	NS
ZNF331	0.552708433065652	6.54726608338277	6.85170255061934	0.0113617633140986	0.258497164994572	pooled_retained	1.94455426209727	NS
AC244453.3	0.550244531090407	6.31085612669265	6.83146687576894	0.0114767689911119	0.258497164994572	pooled_retained	1.94018035991997	NS
PTK2B	0.412023214494096	6.61585996827472	6.82530736479277	0.0115120194936854	0.258497164994572	pooled_retained	1.93884848366554	NS
CTCF	-0.355597212269386	6.71679283696482	6.83114060227767	0.0114786333660548	0.258497164994572	pooled_retained	1.94010981550179	NS
TNFSF13B	0.698315708979299	6.35825989215776	6.81469493449464	0.0115911342930155	0.258965744054005	pooled_retained	1.93587406247529	NS
NCOA1	0.227335043105214	8.92033146615469	6.76145216332143	0.0118842851220606	0.264187658263406	pooled_retained	1.92502693735877	NS
