p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.94332007103666e-61,0.519831258276313,0.485,0.438,3.09356574050093e-56,0,P2RY12
3.80541875764708e-102,0.517935818278224,0.405,0.319,1.18394188387916e-97,0,SLC2A5
7.96645967276942e-62,0.517628952949839,0.379,0.326,2.47852493339202e-57,0,PKM
0,0.516070766017956,0.946,0.861,0,0,LRMDA
1.79931618350661e-221,0.515922537963887,0.738,0.636,5.59803251012575e-217,0,CYFIP1
2.98868396837111e-97,0.514010781811135,0.334,0.243,9.2983935623962e-93,0,TLR2
0,0.513232262063156,0.94,0.859,0,0,DOCK4
3.26820612932716e-75,0.511872589893442,0.273,0.198,1.01680429095627e-70,0,CALY
2.77797948466955e-149,0.504860569303914,0.596,0.515,8.6428497727039e-145,0,MGAT4A
8.98521593864374e-62,0.5042894161569,0.324,0.265,2.79548038283084e-57,0,AC025569.1
5.47870182142011e-89,0.502099169866229,0.495,0.435,1.70453371068022e-84,0,SRGAP2C
1.24905462397579e-74,0.498116654055286,0.212,0.141,3.88605874611347e-70,0,IFI44L
1.24597170969971e-47,0.497237605579865,0.171,0.122,3.87646718321775e-43,0,AP003086.2
1.00197215708149e-56,0.496572247908664,0.124,0.075,3.11733577511195e-52,0,FAM177B
6.97699364858048e-121,0.490176379602513,0.533,0.448,2.17068226394636e-116,0,LYN
4.28785053414024e-113,0.489087819629016,0.576,0.505,1.33403605818171e-108,0,CSF1R
8.19376247909478e-123,0.488031684540981,0.61,0.536,2.54924338249597e-118,0,SLCO2B1
6.10482468366134e-97,0.48364838954876,0.528,0.46,1.89933305558072e-92,0,ABCC4
3.86590041326164e-70,0.483386385733271,0.207,0.14,1.20275893657396e-65,0,GNG3
9.26825114013108e-104,0.482655478027522,0.67,0.614,2.88353829471758e-99,0,HS3ST4
4.57936818149705e-56,0.478654854933781,0.143,0.091,1.42473302862736e-51,0,DDIT4
2.86093751977511e-107,0.4761709410117,0.595,0.526,8.90094881152433e-103,0,IPCEF1
2.35703665667987e-64,0.474048831388572,0.357,0.292,7.33321244626241e-60,0,STMN1
3.91051416811562e-238,0.473943003011775,0.825,0.744,1.21663916798413e-233,0,FOXN3
1.11522048846346e-47,0.472871416604034,0.282,0.231,3.46967398370752e-43,0,CD81
9.26400363421669e-78,0.472271068662859,0.496,0.442,2.8822168106775e-73,0,MTSS1
2.44101884781017e-134,0.472250237004595,0.551,0.454,7.59449783930701e-130,0,RBM47
6.36687302164732e-79,0.469506784964988,0.442,0.378,1.98086153449492e-74,0,RIN3
2.16793082414655e-70,0.464165954169479,0.424,0.361,6.74486638008474e-66,0,TGFBR1
7.50845655623148e-66,0.462528215739827,0.422,0.363,2.33603100377474e-61,0,PEBP1
1.94729278230408e-89,0.460258830748638,0.527,0.466,6.05841730430444e-85,0,SYK
3.44340542973211e-118,0.46001945604423,0.604,0.528,1.07131229729825e-113,0,FGD4
1.46008388111686e-83,0.456237451376435,0.457,0.386,4.54261297093078e-79,0,RHBDF2
2.3720398591939e-75,0.455680483708136,0.141,0.081,7.37989040992407e-71,0,AC011933.4
6.80257946192196e-82,0.455654236237539,0.557,0.496,2.11641852219316e-77,0,SDK1
2.06670252672427e-164,0.455012549510559,0.785,0.714,6.42992490114455e-160,0,KCNQ3
1.65363794524049e-97,0.454918500600455,0.566,0.482,5.14479837523221e-93,0,AC074327.1
4.86588869974249e-32,0.451915886677963,0.226,0.185,1.51387529226388e-27,0,RPL41
3.81245816302877e-69,0.451640021178585,0.374,0.305,1.18613198368151e-64,0,CCK
1.32147377096587e-51,0.450767007940143,0.394,0.345,4.111369196229e-47,0,BLNK
1.67528333738961e-79,0.450162059141732,0.585,0.542,5.21214151928657e-75,0,PTPRE
1.10266672035218e-49,0.449599239125053,0.262,0.205,3.43061670035971e-45,0,TPI1
2.03199392531192e-36,0.447748962082788,0.271,0.228,6.32193950043044e-32,0,TMEM156
1.41983786011319e-115,0.447426103181452,0.682,0.609,4.41739955038417e-111,0,RUNX1
3.4891881511058e-47,0.447359642605784,0.245,0.191,1.08555621757204e-42,0,STMN4
3.36686245571259e-42,0.445469048288452,0.297,0.25,1.0474982472213e-37,0,FGD2
3.95007702802883e-46,0.44283058903476,0.393,0.351,1.22894796496033e-41,0,ARPP19
3.89922508881745e-148,0.441736607293861,0.818,0.752,1.21312690963289e-143,0,SFMBT2
3.36373181768824e-118,0.441366733698691,0.667,0.607,1.04652424311917e-113,0,INPP5D
