Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
89	Interferon beta-1a DB00060 human GSE26104 sample 3187	0.08448178044174341	3.000914123203494	7.415917150804402	GPR34;ST6GALNAC3;TM6SF1	0.6151033002949408	0	0	Drug_Perturbations_from_GEO_down
90	amoxicillin DB01060 rat GSE2354 sample 2677	0.09028108175971432	2.433457711442786	5.852045646966003	RNF13;IFNGR1;HNRNPC;RREB1	0.6428806701131304	0	0	Drug_Perturbations_from_GEO_down
91	Phosgene 6371 mouse GSE2565 sample 3610	0.09028108175971432	2.433457711442786	5.852045646966003	MBNL1;PTPRC;ANKRD44;ST8SIA4	0.6428806701131304	0	0	Drug_Perturbations_from_GEO_down
92	vemurafenib DB08881 human GSE63790 sample 2508	0.09176670409875909	2.418768545994065	5.777242574212832	DOCK4;SPRED1;MAML2;TM6SF1	0.6429268737604527	0	0	Drug_Perturbations_from_GEO_down
93	NICKEL CHLORIDE 24385 rat GSE31503 sample 3278	0.09251392819665208	2.4114891518737673	5.740299301656253	CCNH;ANKRD44;NPL;PIK3AP1	0.6429268737604527	0	0	Drug_Perturbations_from_GEO_down
94	Lipopolysaccharide 11970143 mouse GSE2002 sample 3603	0.09326408353932493	2.404252704031465	5.703657260366157	CX3CR1;MBNL1;PTPRC;TM6SF1	0.6429268737604527	0	0	Drug_Perturbations_from_GEO_down
95	decitabine 451668 mouse GSE4768 sample 3103	0.09782611218452004	2.361714975845411	5.489957001379243	PLA2G4A;IL6ST;RHOQ;PICALM	0.6672770599533577	0	0	Drug_Perturbations_from_GEO_down
96	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3386	0.09922997473222103	2.1068909386869237	4.867582045974956	CDK6;GNAQ;DLEU2;FBXO11;MED13L	0.667341047399587	0	0	Drug_Perturbations_from_GEO_down
97	EPZ004777 56962336 human GSE29828 sample 2649	0.10014602509704536	2.3409961685823757	5.386926932071431	CEBPB;HNRNPC;TGFBR1;PAG1	0.667341047399587	0	0	Drug_Perturbations_from_GEO_down
98	imatinib DB00619 human GSE1922 sample 2517	0.10092503494623382	2.3341690544412605	5.353130244418383	LYN;CEBPB;CCNH;SAMSN1	0.667341047399587	0	0	Drug_Perturbations_from_GEO_down
