gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
ANO10	0.00606364111523667	0.954386805360628	-0.0075222690607314	0.946176775350358	FALSE
ANO6	-0.0148609434564801	0.899964076969867	-0.0456074245670302	0.67480877068043	TRUE
ANOS1	0.190401535560143	0.0489781648736917	0.188681195321467	0.070325445492103	TRUE
ANP32A	0.0447389946734543	0.625780066316812	0.0322985062893443	0.739554370501265	TRUE
ANXA11	0.106716897929056	0.404258844725575	0.100908647035091	0.451924103588626	TRUE
ANXA4	0.201997577185494	0.00390159118177671	0.213280615347422	0.00245290293573184	TRUE
AOAH	-0.0770318544561202	0.0785302244700817	-0.0866269968215494	0.0642584369931393	TRUE
AP003354.2	0.312068187608636	0.00522760437547423	0.328519164576492	0.00550869634795104	TRUE
AP003481.1	0.173833503773446	0.00814462596082837	0.159380756898228	0.0209128308160823	TRUE
AP1B1	0.0546143564769098	0.336868540766094	0.0357246810087423	0.552167141927617	TRUE
AP1G1	0.0490561800356928	0.643392266624879	0.0342120584477679	0.777963875472535	TRUE
AP2A2	-0.172886791520401	0.0198276808018555	-0.165453277698256	0.0254498554907094	TRUE
AP2B1	-0.0196776294096482	0.864519068651679	0.00372280749811115	0.973175333011669	FALSE
AP2M1	-0.201354563332338	0.0957384135481182			
AP3B1	8.24945576946576e-05	0.999017395703738	-0.0196430114678795	0.783073458512211	FALSE
AP3D1	-0.222226480233803	0.0343252227846432	-0.222537662163105	0.0368994526621814	TRUE
AP3S1	-0.0409563930800432	0.802603733510975			
AP4E1	0.10952859010647	0.334499484783899	0.110212588903621	0.375906616042631	TRUE
APAF1	0.259884573590724	0.0010488323016049	0.247586868369749	0.0020382185295057	TRUE
APBA1	0.162860543522619	0.0204058452486696	0.172437357412418	0.0190393799045657	TRUE
APBA2	-0.130868516470513	0.0823692156037498	-0.125870524809079	0.115615806883984	TRUE
APBB1IP	0.157944228430166	0.000164652615090967	0.151651367988479	0.000418946255507497	TRUE
