gene	logFC_baseline	FDR_baseline	logFC_combined_filtered	FDR_combined_filtered	direction_same
URI1	0.0586280237984175	0.577106404563329	0.0369619061844414	0.752479894340847	TRUE
USF2	-0.0883247429448008	0.435100171084806	-0.10485361301586	0.405778874622897	TRUE
USF3	0.100970790217438	0.435095557524395			
USO1	0.102982719726321	0.247085405507231	0.113596061914196	0.209692088030909	TRUE
USP10	0.0630666979540877	0.503829538949932	0.0477524346277711	0.667226379298523	TRUE
USP11	-0.314745071189392	0.0155319955487837			
USP12	0.137009137481312	0.191877788077823	0.159436064140397	0.148314474299947	TRUE
USP14	-0.0692699384918472	0.569258552225993	-0.0789284729669967	0.530641407066057	TRUE
USP15	0.186440256315381	0.000455979180163729	0.152827749778795	0.0044132178408951	TRUE
USP16	-0.07824122883849	0.619822155699274	-0.0273201581262179	0.870161761315805	TRUE
USP22	-0.0357731896560857	0.726169796892675	-0.0475925607090894	0.67174189978463	TRUE
USP24	0.0336373422896045	0.626078604252584	0.0200238718338712	0.794510032308391	TRUE
USP25	-0.0637556770095485	0.432520748895673	-0.0830027160451152	0.31830410458961	TRUE
USP3	0.0940664016816127	0.335304371904434	0.101514743422751	0.298623369083175	TRUE
USP32	0.0580165691693533	0.450989091277485	0.0257423524508241	0.765346416864372	TRUE
USP33	-0.0542070329402049	0.487878824583512	-0.0531836162771287	0.524313296042964	TRUE
USP34	0.0241222342919121	0.693015956456137	0.0129164828086008	0.850176232441293	TRUE
USP36	0.0401989534935661	0.737802395875474	0.0148939237112441	0.911562645672712	TRUE
USP37	-0.0420863864696726	0.737973715005149	-0.0213292450557668	0.875516693259256	TRUE
USP39	-0.100983260422996	0.46425494127231	-0.0847461781962982	0.541122682148538	TRUE
USP4	-0.122643946978332	0.0783542574331128	-0.12100531878691	0.0876130511054596	TRUE
USP40	-0.00739929574077348	0.949625790360002	-0.0344679152654967	0.77895759829276	TRUE
USP42	-0.129315569772541	0.281919269789434	-0.101382302827124	0.435023960872401	TRUE
USP47	-0.089883356498367	0.261555437609088	-0.0895288463082695	0.314172862149587	TRUE
USP48	0.0131054077481348	0.899574401074881	0.0566556338723201	0.577681619001389	TRUE
USP53	0.17898232005773	0.000900152363806676	0.154415931269876	0.00485697628099558	TRUE
USP6NL	0.150583137954983	0.0168827132259064	0.133967290649068	0.0483501261441906	TRUE
USP7	-0.101080358369012	0.33114549495395	-0.111594085020825	0.29863472518009	TRUE
USP8	-0.132802236104814	0.189669695939243	-0.140068995084038	0.158493461652109	TRUE
USP9X	0.0332161328167798	0.726169796892675	0.0168245480361805	0.874681403526849	TRUE
USP9Y	0.0955457087131408	0.350289335276546	0.0609214103380828	0.59431251080363	TRUE
USPL1	0.0764804376987646	0.605549494955446	0.0804448719913152	0.588531632162	TRUE
UST	-0.0249660727828103	0.808521661850374	-0.0363497476581618	0.736244263843646	TRUE
UTP6	0.109886710713223	0.353364330373515	0.122620729925929	0.328588542658925	TRUE
UTRN	-0.00354142368409807	0.965718600739907	0.0171157382949432	0.843871194930487	FALSE
UTY	0.0713310329276777	0.354714409851415	0.093651011586734	0.231628726431686	TRUE
UVRAG	0.173090888295148	0.000581390208080293	0.172476191671511	0.00119640987674728	TRUE
UVSSA	0.107064679016635	0.496339554806522	0.116420882758991	0.419217512670876	TRUE
VAPA	0.0789060534249187	0.41065509542512	0.102863051389565	0.310055178951425	TRUE
VAPB	0.00589379679847102	0.964905232763043	-0.0341539611717402	0.809889390869693	FALSE
VASH1	0.0052173638480459	0.960167162441562	-0.0214970377035381	0.844103955110843	FALSE
VAV1	0.0996071598405804	0.108535718893804	0.0966589149115688	0.141431081305929	TRUE
VCL	0.0683423962328199	0.576135696442602	0.132250568908279	0.262038863039947	TRUE
VDAC1	-0.132238027602945	0.199357518678003	-0.16343668682787	0.131622590271034	TRUE
VEZT	-0.0350977079674297	0.754207084469175	-0.0225753775543177	0.847444637099359	TRUE
VGLL4	-0.031047292090457	0.761832499321525	-0.0598746522940462	0.585358433051137	TRUE
VIRMA	0.00712482682117411	0.962816545596478	0.0181200837438455	0.907073423186894	TRUE
VKORC1L1	0.0246684715922203	0.826880114713765	0.0468656957671744	0.665251205115364	TRUE
VMP1	0.113362358653348	0.118465378238899	0.116670026176298	0.146246661925645	TRUE
VOPP1	0.00938181382562379	0.914142564482236	0.000679797866386486	0.996135849093943	TRUE
VPS13A	-0.306315792496698	0.00794662656328537	-0.304506177447427	0.0123450213349201	TRUE
VPS13B	0.0504679738337833	0.468450330150005	0.0273681702646306	0.725380569759041	TRUE
VPS13C	-0.0269650275877963	0.621957081062397	-0.0355015704010774	0.561018169559836	TRUE
VPS13D	0.0370846048414889	0.581432071363545	0.00645722726342582	0.936759040478091	TRUE
VPS26A	0.180776248321476	0.168916434963586			
VPS29	0.141259530080046	0.150031500519746	0.135984933179598	0.193421147390206	TRUE
VPS35	-0.215005648706186	0.0398873577127623	-0.22830262526823	0.0322879179012678	TRUE
VPS35L	0.0360107784050154	0.698531313858776	0.00631369934865563	0.955396124040444	TRUE
VPS36	0.105863705962989	0.386121251871139	0.0879902646601517	0.505607510640732	TRUE
VPS37B	0.0440670777055002	0.757861304821523	0.0210104599426819	0.890838098134044	TRUE
VPS39	0.0567396533834569	0.601182338383492	0.0225977907585742	0.854191881395245	TRUE
VPS41	0.0690233304299284	0.482873066384103	0.0808832675850056	0.454807668696007	TRUE
